character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
谷,gu3,Seal,pictosynthetic,239.02844321352325,hzy,S08436,谷 (gu3)
豁,huo4,Seal,pictophonetic,440.1981544108568,hzy,S08438,豁 (huo4)
豆,dou4,Bronze,pictographic,262.80940324141784,hzy,B07339,豆 (dou4)
豆,dou4,Oracle,pictographic,234.13756320200932,hzy,J12057,豆 (dou4)
豆,dou4,Seal,pictographic,257.63475660084737,hzy,S03550,豆 (dou4)
豚,tun2,Bronze,pictophonetic,284.3305772199877,hzy,B14500,豚 (tun2)
豚,tun2,Oracle,pictophonetic,183.91336348778333,hzy,J21977,豚 (tun2)
豚,tun2,Seal,pictophonetic,374.6959123252578,hzy,S06927,豚 (tun2)
象,xiang4,Bronze,pictographic,226.09474132043985,hzy,B14608,象 (xiang4)
象,xiang4,Oracle,pictographic,220.4055949181161,hzy,J22120,象 (xiang4)
象,xiang4,Seal,pictographic,312.86872125441937,hzy,S06955,象 (xiang4)
豪,hao2,Seal,pictophonetic,351.2167600804459,hzy,S06915,豪 (hao2)
豹,bao4,Oracle,pictophonetic,228.81280578072506,hzy,J21988,豹 (bao4)
豹,bao4,Seal,pictophonetic,315.37942231276526,hzy,S06930,豹 (bao4)
豺,chai2,Seal,pictophonetic,284.3943733887781,hzy,S06935,豺 (chai2)
貂,diao1,Seal,pictophonetic,358.39353437178943,hzy,S06944,貂 (diao1)
貌,mao4,Seal,pictophonetic,364.8589503202126,hzy,S06212,貌 (mao4)
贝,bei4,Bronze,pictographic,335.885424765886,hzy,B09471,贝 (bei4)
贝,bei4,Oracle,pictographic,254.45356160475592,hzy,J15464,贝 (bei4)
贝,bei4,Seal,pictographic,239.93551369357917,hzy,S04518,贝 (bei4)
